classifier,n,Lhat,trainTime,testTime,iterate
CNN, 100, 0.190000000, 0.752117634, 0.614024878, 0
CNN, 100, 0.176500000, 0.140054226, 0.605839968, 1
CNN, 100, 0.187300000, 0.111533880, 0.643650055, 2
CNN, 100, 0.171900000, 0.113558531, 0.581354618, 3
CNN, 100, 0.175900000, 0.126827717, 0.659527063, 4
CNN, 200, 0.156200000, 0.385962963, 0.676278830, 0
CNN, 200, 0.125700000, 0.232888460, 0.669561863, 1
CNN, 200, 0.146500000, 0.280427694, 0.671765327, 2
CNN, 200, 0.149800000, 0.246133566, 0.662137985, 3
CNN, 200, 0.142200000, 0.237068892, 0.695714474, 4
CNN, 500, 0.081800000, 0.981335402, 0.600870848, 0
CNN, 500, 0.074800000, 0.755582333, 0.594856262, 1
CNN, 500, 0.072000000, 0.791054726, 0.598115444, 2
CNN, 500, 0.071800000, 0.771756411, 0.584766150, 3
CNN, 500, 0.071400000, 0.834664583, 0.606276035, 4
CNN, 1000, 0.063900000, 1.630899191, 0.724611044, 0
CNN, 1000, 0.055800000, 1.724174738, 0.722816467, 1
CNN, 1000, 0.062700000, 1.711241484, 0.730301857, 2
CNN, 1000, 0.053200000, 1.564013243, 0.605263233, 3
CNN, 1000, 0.058900000, 1.563336134, 0.604407072, 4
CNN, 2500, 0.039700000, 6.249512911, 0.661669254, 0
CNN, 2500, 0.036300000, 4.150550842, 0.597835302, 1
CNN, 2500, 0.036300000, 4.235373735, 0.602291107, 2
CNN, 2500, 0.033400000, 4.181592226, 0.633444548, 3
CNN, 2500, 0.036100000, 4.458637953, 0.610604525, 4
CNN, 5000, 0.027600000, 9.324048042, 0.667109489, 0
CNN, 5000, 0.026200000, 7.993537903, 0.612414122, 1
CNN, 5000, 0.024400000, 7.963074684, 0.599383831, 2
CNN, 5000, 0.024600000, 8.019908428, 0.601227522, 3
CNN, 5000, 0.024400000, 8.062329054, 0.600977421, 4
CNN, 10000, 0.021300000, 17.197563171, 0.690166473, 0
CNN, 10000, 0.019900000, 16.311974764, 0.603949070, 1
CNN, 10000, 0.020800000, 16.021891594, 0.621479273, 2
CNN, 10000, 0.021200000, 16.592129469, 0.614670038, 3
CNN, 10000, 0.018700000, 16.157150030, 0.610872746, 4
CNN, 30000, 0.014900000, 67.873108864, 0.661482096, 0
CNN, 30000, 0.013800000, 48.011107922, 0.633217573, 1
CNN, 30000, 0.015000000, 47.447169781, 0.696306467, 2
CNN, 30000, 0.014500000, 47.645213842, 0.612546682, 3
CNN, 30000, 0.014700000, 48.099146605, 0.688338518, 4
CNN, 60000, 0.011900000, 97.742671728, 0.701998949, 0
CNN, 60000, 0.012200000, 99.287841082, 0.603173256, 1
CNN, 60000, 0.011500000, 99.718878746, 0.676488638, 2
CNN, 60000, 0.012400000, 99.653109074, 0.624530315, 3
CNN, 60000, 0.010600000, 101.912111044, 0.637160778, 4
